epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,233.48,0.42332,0.38595,0.83319,0.9536,0.82861,0.91821,0.77792,0.49052,0.43642,0.83409,9.9081e-05,9.9081e-05,9.9081e-05
92,236.1,0.45189,0.40607,0.84499,0.96549,0.82188,0.9155,0.7643,0.50936,0.45008,0.84057,9.00819e-05,9.00819e-05,9.00819e-05
93,238.646,0.43266,0.39021,0.83643,0.96514,0.83057,0.92012,0.7677,0.5082,0.44235,0.83976,8.10828e-05,8.10828e-05,8.10828e-05
94,241.308,0.43218,0.39266,0.8311,0.96409,0.82812,0.92411,0.76345,0.50346,0.43507,0.84039,7.20837e-05,7.20837e-05,7.20837e-05
95,243.699,0.419,0.37747,0.8309,0.96065,0.82974,0.92515,0.76384,0.50113,0.42901,0.84162,6.30846e-05,6.30846e-05,6.30846e-05
96,246.173,0.44054,0.39107,0.84278,0.96442,0.82334,0.92462,0.76771,0.50795,0.42976,0.84323,5.40855e-05,5.40855e-05,5.40855e-05
97,248.521,0.43363,0.38302,0.83317,0.96312,0.82519,0.92375,0.76833,0.50156,0.4348,0.84062,4.50864e-05,4.50864e-05,4.50864e-05
98,250.964,0.43534,0.39206,0.83108,0.94745,0.82235,0.92367,0.7663,0.50518,0.42639,0.83756,3.60873e-05,3.60873e-05,3.60873e-05
99,253.283,0.4149,0.37618,0.83883,0.95882,0.83091,0.92395,0.76974,0.50645,0.42464,0.83835,2.70882e-05,2.70882e-05,2.70882e-05
100,255.665,0.42471,0.37145,0.82689,0.94932,0.83265,0.92291,0.76733,0.50744,0.42249,0.83883,1.80891e-05,1.80891e-05,1.80891e-05
